Año,Mes,Export FOB (miles),Toneladas
2016,3,94671.95803,85110.301605
2016,4,99569.88364100001,92114.249239
2016,5,102303.207933,85818.004821
2016,6,119851.25049100001,94839.70839900001
2016,7,132252.71823199998,110431.579768
2016,8,100487.97921,79266.592995
2016,9,109764.02285000001,80043.721269
2016,10,119515.3332,75754.94390700001
2016,11,100474.14156599999,74355.57103
2016,12,119488.32882,103170.478968
2017,1,117211.09618,108115.037727
2017,2,119104.81533,106521.91165499999
2017,3,123119.97035,105347.684194
2017,4,120937.70188,92240.177911
2017,5,129406.804288,107580.56394000001
2017,6,133718.51337,117682.271069
2017,7,116364.735523,85428.438588
2017,8,89819.54184,66417.684477
2017,9,84654.13679,55577.170661000004
2017,10,83520.103979,52700.301333999996
2017,11,88811.688831,68049.879265
2017,12,123652.848856,92837.15609
2018,1,122484.00633999999,99081.120879
2018,2,102000.021522,84573.89611
2018,3,122715.31986999999,97750.903442
2018,4,111068.56059,86475.696048
2018,5,91783.65062799999,74596.209407
2018,6,98178.56539,83837.90267
2018,7,116115.1459,95191.97243
2018,8,117784.32494,80219.97536
2018,9,95298.940565,59307.749658
2018,10,95451.74954,60983.022352
2018,11,102357.389105,82678.209324
2018,12,90151.02799,77967.81463699999
2019,1,109373.78118,101439.791448
2019,2,116569.25935000001,99235.201033
2019,3,120427.95176,84132.554765
2019,4,104593.98247999999,75852.31617
2019,5,109697.86207,87831.03255
2019,6,106545.03377000001,83744.887589
2019,7,110619.14941,77427.600228
2019,8,121575.92374,92496.662731
2019,9,91733.890531,64069.938978
2019,10,91232.84362,69510.931358
2019,11,100049.52875,81213.871148
2019,12,151679.528406,99420.25660000001
2020,1,148140.050678,122894.73770000001
2020,2,138231.56777,93005.919214
2020,3,163165.102772,141434.9781
2020,4,116411.91132,118638.80541
2020,5,116898.54441,68060.99681
2020,6,179023.34007,127916.73090000001
2020,7,203026.77979,142121.66273
2020,8,170119.41531,103938.154167
2020,9,151069.97696,76752.974229
2020,10,138100.87053000001,73416.361016
2020,11,135938.47306,78288.480134
2020,12,147193.98369,106608.87478
2021,1,161355.94836,132319.84083
2021,2,156849.842576,97566.899901
2021,3,180833.63404,92365.88591
2021,4,181484.13802,103906.71227
2021,5,223371.5936,98840.17919
2021,6,196783.36674,83474.21012999999
2021,7,209540.39407,92741.307929
2021,8,193023.36819,75884.978724
2021,9,153492.56224,63054.754786
